id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
422	education	-1.0004	-0.0452	15	72	440	40	2019	0.825	1.2152
423	educational game	-0.885	-0.1533	15	9	108	7	2019	1	1.473
424	edx	1.1579	0.0118	1	83	274	12	2019	0.5833	0.8592
425	eeg	-0.7805	-0.0966	3	46	288	21	2019	0.7619	1.1223
426	eeg signal	-0.7772	-0.0967	3	25	156	9	2019	0.8889	1.3093
427	efb	0.1644	0.2527	14	7	75	12	2019	0	0
428	effective method	0.4691	-0.1718	4	46	92	5	2019	0.2	0.2946
429	eggshell	1.2275	-0.2161	4	30	438	11	2019	0.1818	0.2678
430	egr	-0.0835	0.5276	7	13	121	8	2019	2	2.946
431	ehealth	-0.9841	-0.1055	8	7	84	7	2019	0	0
432	eit	-0.2026	0.0363	5	11	54	6	2019	0	0
433	elbow	-0.0234	0.7084	7	13	172	8	2019	0.5	0.7365
434	electric field	-0.1831	0.0495	5	29	219	10	2019	0.7	1.0311
435	electric furnace	-0.0759	0.3341	12	19	116	6	2019	0.1667	0.2455
436	electric power	0.1158	0.2464	7	17	72	7	2019	0.8571	1.2626
437	electric scooter	-0.1425	0.1068	6	8	52	7	2019	0	0
438	electric vehicle	-0.197	0.1631	6	33	108	19	2019	0.1053	0.1551
439	electrical conductivity	0.7464	0.0478	1	69	391	21	2019	0	0
440	electro oxidation	0.5407	0.0779	10	30	136	8	2019	1.875	2.7618
441	electrochemical method	0.7621	-0.0003	16	23	61	5	2019	6	8.8379
442	electrochemical property	0.701	-0.0148	1	37	168	6	2019	2.3333	3.437
443	electrode	0.5179	-0.0121	16	132	645	48	2019	1.0833	1.5957
444	electrolysis	0.5006	0.0705	10	12	108	6	2019	1	1.473
445	electron microscope	0.88	-0.0058	1	77	139	7	2019	0.2857	0.4209
446	electron microscopy	0.9227	-0.045	1	189	597	29	2019	1.5172	2.2349
447	elongation	0.2302	-0.2244	13	49	256	15	2019	0.6667	0.982
448	emission	-0.042	0.3643	14	142	1156	89	2019	1.0562	1.5557
449	emotion recognition	-0.9537	-0.1354	2	14	170	12	2019	2.8333	4.1735
450	empirical result	-0.9964	0.126	3	26	64	5	2019	2.6	3.8298
451	employee	-0.7766	-0.2685	2	27	139	18	2019	1.1667	1.7185
452	emt	-0.7738	0.0766	3	6	21	5	2019	3.6	5.3027
453	emu g	0.8058	0.1811	1	23	242	12	2019	0.1667	0.2455
454	emulsion fuel	0.1829	0.5456	14	23	151	9	2019	0	0
455	end milling parameter	-0.0486	-0.2922	13	23	340	8	2019	0	0
456	end milling process	-0.0313	-0.2278	13	35	325	10	2019	0.7	1.0311
457	energy band gap	0.3112	0.0007	6	15	225	10	2019	0	0
458	energy conversion	-0.0294	0.1871	2	15	70	8	2019	0.25	0.3682
459	energy dispersive x ray	1.1216	-0.06	1	87	198	8	2019	0.25	0.3682
460	energy loss	0.1465	0.5358	7	20	99	9	2019	0.2222	0.3273
461	engine	-0.0652	0.3985	14	123	710	50	2019	0.76	1.1195
462	engine load	0.2297	0.5715	14	32	135	8	2019	0.125	0.1841
463	engine performance	0.2255	0.6027	14	47	333	15	2019	2.6	3.8298
464	ensemble	-0.4779	0.1005	6	29	110	13	2019	0.1538	0.2266
465	ensemble kalman filter	-0.4006	0.1298	6	13	74	6	2019	0.3333	0.491
466	entrepreneurial intention	-1.0995	-0.0145	3	8	168	6	2019	0	0
467	environmental condition	-0.3242	0.0523	10	39	138	7	2019	0.5714	0.8417
468	enzymatic hydrolysis	0.9895	-0.482	9	44	268	8	2019	1.125	1.6571
469	enzyme	1.0455	-0.3726	9	99	483	27	2019	0.5926	0.8729
470	epfb	0.9722	0.1599	1	6	104	8	2019	0	0
471	equivalent ratio	0.7462	0.3792	14	3	24	6	2019	0	0
472	erosion	0.0966	0.1083	10	26	79	7	2019	1	1.473
473	escherichia coli	0.6104	-0.063	11	17	120	5	2019	0	0
474	essential oil	0.9715	-0.4269	4	31	166	8	2019	0.75	1.1047
475	essential role	-0.9668	-0.3677	19	35	79	7	2019	0.1429	0.2104
476	esterification	1.2025	-0.2357	4	29	131	7	2019	0.2857	0.4209
477	estimation method	-0.8059	0.1579	3	51	106	11	2019	0.4545	0.6695
478	estimator	-1.1142	0.1797	3	65	400	31	2019	0.6129	0.9028
479	etc	-0.334	0.2221	7	32	71	5	2019	0.2	0.2946
480	ethane	0.5915	-0.5603	9	9	77	5	2019	1.6	2.3568
481	ethanol	1.1519	-0.208	18	178	902	40	2019	0.275	0.4051
482	ethyl acetate	1.2141	-0.504	4	39	452	16	2019	0.3125	0.4603
483	ethylene oxide	1.2678	-0.1112	18	17	89	5	2019	0.4	0.5892
484	eucalyptus	0.3373	-0.6468	16	5	144	8	2019	0	0
485	event	-0.7491	-0.1872	2	118	792	67	2019	0.8209	1.2092
486	event log	-0.9111	-0.3827	2	32	430	27	2019	1.4815	2.1822
487	exact method	-0.9725	0.2093	8	6	96	6	2019	0	0
488	exclusive breastfeeding	-1.1747	0.0716	15	26	208	8	2019	0.125	0.1841
489	exhaust emission	0.0826	0.6093	14	49	304	13	2019	0.6154	0.9065
490	exhaust gas	-0.0262	0.3708	12	38	169	8	2019	0	0
491	exit	0.0391	-0.1448	13	22	160	6	2019	0	0
492	exogenous variable	-0.9349	0.0979	3	34	93	6	2019	0.3333	0.491
493	exoskeleton	-0.5326	0.0385	6	4	42	6	2019	0	0
494	experimental data	0.6676	0.0582	18	137	410	22	2019	1.2727	1.8747
495	experimental design	0.2264	-0.2938	13	84	253	10	2019	0.5	0.7365
496	experimental study	0.2251	0.1532	17	129	408	22	2019	0.1364	0.2009
497	extract	1.0158	-0.3128	4	49	310	20	2019	0.9	1.3257
498	extraction	0.4627	-0.3052	4	234	1735	93	2019	0.7204	1.0612
499	extraction method	-0.1046	-0.2589	4	69	270	19	2019	0.9474	1.3955
500	extraction time	0.984	-0.4485	4	70	501	17	2019	0.5882	0.8665
501	eye	-0.532	-0.1833	15	54	116	7	2019	0	0
502	eye gaze accuracy	-0.7753	0.0749	3	10	72	6	2019	10.3333	15.2208
503	f measure	-0.9123	-0.1084	2	50	165	13	2019	0.6154	0.9065
504	f s	0.8175	-0.4109	4	30	126	5	2019	1	1.473
505	fabrication	0.7197	0.0321	1	100	304	22	2019	0.8636	1.2721
506	face image	-0.6179	-0.0633	2	15	62	8	2019	1	1.473
507	face recognition	-0.6482	-0.0903	2	15	69	10	2019	0.8	1.1784
508	faee	1.4532	-0.5137	4	19	390	10	2019	0	0
509	farmer	-0.3686	0.008	10	37	214	15	2019	0	0
510	fatty acid	1.2536	-0.3142	4	65	349	15	2019	0.1333	0.1964
511	fe co hzsm	1.238	-0.0211	4	37	147	5	2019	0	0
512	fe content	1.1248	0.0869	1	32	136	7	2019	0	0
513	fe2o3	1.0227	0.0936	1	72	219	11	2019	0.8182	1.2052
514	fe3o4	0.7334	0.2282	1	53	320	15	2019	1.4667	2.1604
515	fe3o4 ferrofluid	0.5925	0.1787	1	9	80	8	2019	0	0
516	feasibility study	-0.5592	0.1926	15	19	57	7	2019	0	0
517	feature extraction	-0.7958	-0.1364	2	75	299	24	2019	0.0833	0.1227
518	feature selection	-0.6918	-0.0611	3	69	427	34	2019	1.1176	1.6463
519	feature selection method	-0.9224	-0.0698	3	20	51	6	2019	0.1667	0.2455
520	feed	0.5723	-0.2597	4	66	214	12	2019	0.5833	0.8592
521	feed rate	0.0611	-0.0511	13	42	219	8	2019	3.125	4.6031
522	feedback	-0.7431	-0.0946	15	58	201	16	2019	0.4375	0.6444
523	fermentation	0.8671	-0.3088	9	59	421	20	2019	0	0
524	fermentation process	0.7278	-0.3904	9	52	228	9	2019	0.3333	0.491
525	fermentation time	0.6846	-0.302	9	37	179	9	2019	0.5556	0.8183
526	ferrofluid	0.2194	0.2665	7	19	127	13	2019	0	0
527	ferroresonance	0.0942	0.1872	12	18	107	12	2019	0.0833	0.1227
528	fes	-0.4783	-0.2865	2	30	117	8	2019	2.25	3.3142
529	ffa	1.1123	-0.4177	4	49	382	11	2019	0	0
530	ffnn	-0.8681	0.2181	3	20	230	9	2019	0	0
531	fft	-0.2058	0.0616	5	18	60	5	2019	0.4	0.5892
532	fgr	0.1827	0.532	12	10	144	6	2019	0	0
533	filler	0.9471	-0.0106	1	82	413	31	2019	0.6452	0.9503
534	film	0.7516	-0.1415	13	72	500	28	2019	1.6786	2.4725
535	fineness	0.2119	0.3961	12	18	163	8	2019	0	0
536	fingertip	-0.5565	-0.3939	2	5	55	5	2019	0	0
537	finite element method	0.1658	0.1408	7	30	70	6	2019	0.6667	0.982
538	firm performance	-0.8559	-0.2476	2	4	40	10	2019	0	0
539	first time	0.3153	-0.0784	2	33	67	5	2019	2.8	4.1244
540	fish	-0.0457	-0.1059	12	67	350	21	2019	0.7619	1.1223
541	fish quality	-0.0838	-0.1706	6	5	40	5	2019	0	0
542	fisherman	-0.1258	0.0371	12	14	54	8	2019	0.25	0.3682
543	flame pyrolysis	0.9943	0.0576	1	31	136	5	2019	2.4	3.5352
544	flat plate	0.0554	0.454	7	22	150	9	2019	1.1111	1.6366
545	flow velocity	-0.6654	0.8144	5	18	289	10	2019	0.1	0.1473
546	fluid flow	0.201	0.3858	7	47	145	12	2019	1	1.473
547	fly ash	0.8827	0.0279	1	68	398	21	2019	0.5714	0.8417
