id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
300	intervention	-1.0789	0.2758	3	56	455	20	2019	3.3	3.3639
301	interview	-0.9285	0.1839	3	105	383	29	2019	1.2414	1.2654
302	intruder	0.0389	-0.3923	12	11	65	14	2019	0.7143	0.7281
303	inversion	-0.1139	0.3735	4	91	452	49	2019	0.4694	0.4785
304	inverter	-0.5501	-0.2635	3	28	212	15	2019	0.2	0.2039
305	iot	-0.7773	-0.2263	2	108	481	46	2019	0.5652	0.5762
306	iron	0.4507	0.1873	1	40	85	12	2019	0.5	0.5097
307	isolation	0.6177	-0.3211	1	115	495	29	2019	1.3103	1.3357
308	item	-0.8216	-0.0321	3	33	128	15	2019	0.2667	0.2718
309	iteration	-0.4909	-0.1718	2	25	71	13	2019	0.9231	0.941
310	itf	-0.2342	1.0412	4	30	193	12	2019	5.5833	5.6915
311	january	-0.2078	0.8486	4	85	374	25	2019	1.04	1.0601
312	japan	0.1274	0.4634	4	40	175	14	2019	0.8571	0.8737
313	java	0.012	0.6453	4	116	760	48	2019	2.6458	2.6971
314	july	-0.2661	0.771	4	79	394	25	2019	1.6	1.631
315	kda	1.1097	-0.0135	1	36	110	12	2019	0.5833	0.5946
316	knowledge	-0.8518	0.0981	3	171	977	72	2019	1.1667	1.1893
317	kraft paper	0.7837	-0.4491	5	23	420	19	2019	0.8421	0.8584
318	lake	0.6892	0.6927	9	47	366	20	2019	5	5.0968
319	lake towuti	0.757	0.6212	9	47	255	13	2019	5.5385	5.6457
320	land	-0.1976	0.6651	4	69	316	28	2019	0.2143	0.2184
321	land subsidence	-0.4308	0.7877	4	40	414	22	2019	1.5909	1.6217
322	landslide	-0.2559	0.8096	4	69	320	22	2019	2.5909	2.6411
323	language	-0.9962	-0.3027	2	116	531	39	2019	0.3846	0.3921
324	language model	-1.0092	-0.2273	2	21	105	13	2019	0.2308	0.2352
325	lava	-0.0514	0.7578	4	28	255	15	2019	0.4	0.4077
326	learner	-1.0232	0.0539	3	28	177	11	2019	0	0
327	learning	-0.8956	-0.0575	3	122	837	66	2019	0.3182	0.3243
328	learning process	-0.9247	-0.0166	3	49	176	16	2019	0.25	0.2548
329	lembang fault	-0.1479	0.9159	4	28	277	17	2019	2.0588	2.0987
330	lib	1.1032	-0.3433	1	45	173	11	2019	0.0909	0.0927
331	light intensity	-0.0534	-0.3368	5	43	152	11	2019	0.0909	0.0927
332	light pollution	-0.4286	0.7523	7	13	210	12	2019	0.5	0.5097
333	light source	-0.2335	-0.4976	2	36	77	10	2019	0.3	0.3058
334	lightning strike	-0.5346	0.4008	3	29	113	15	2019	0.1333	0.1359
335	limit	0.0052	-0.0483	8	135	803	52	2019	2.2692	2.3132
336	liquid	0.9271	-0.0586	1	108	506	36	2019	1.5	1.5291
337	literature review	-0.7304	0.087	3	64	223	18	2019	0.7222	0.7362
338	literature study	-0.6578	0.1755	3	65	140	11	2019	0.4545	0.4633
339	lithium ion battery	0.8959	-0.389	1	82	264	15	2019	0.5333	0.5437
340	low temperature	0.8426	-0.2123	1	78	240	13	2019	1	1.0194
341	lrt	-0.5178	0.4163	3	17	70	11	2019	0	0
342	lstm	-0.9778	-0.2948	2	54	347	25	2019	0.32	0.3262
343	machine learning	-0.3354	-0.2905	2	59	174	19	2019	0.0526	0.0537
344	magnet	0.1919	0.0142	6	21	101	11	2019	0.3636	0.3707
345	magnetic field	-0.3177	0.0778	2	46	160	21	2019	0.7143	0.7281
346	magnetic property	0.7027	0.6606	9	56	309	22	2019	2.4091	2.4558
347	magnetic susceptibility	0.5727	0.7377	9	51	414	24	2019	1.6667	1.6989
348	magnitude	-0.245	0.5109	4	137	631	54	2019	0.9074	0.925
349	majority	-0.5752	0.3321	3	86	195	12	2019	0.5833	0.5946
350	march	-0.0762	0.6933	4	59	164	14	2019	0.1429	0.1456
351	market	-0.2958	0.113	3	105	417	33	2019	0.2727	0.278
352	mass	0.1883	0.3639	7	169	948	77	2019	1.4416	1.4695
353	may	-0.0704	0.8757	4	75	251	14	2019	1.3571	1.3834
354	mcc	0.6283	-0.3219	1	33	636	24	2019	0.875	0.8919
355	mean	0.1462	-0.108	7	154	435	30	2019	1.1667	1.1893
356	measurement result	-0.1156	-0.2651	6	146	479	31	2019	0.6129	0.6248
357	mechanical property	1.309	-0.1635	1	69	458	27	2019	0.6296	0.6418
358	membrane	1.1622	-0.0389	1	106	1834	146	2019	5.8014	5.9137
359	memory	-0.907	-0.174	2	86	298	32	2019	0.4375	0.446
360	message	-0.8788	-0.2662	2	37	147	19	2019	0.3684	0.3756
361	metal	0.8142	0.0013	1	129	444	35	2019	0.9429	0.9611
362	metamodel	-1.3442	-0.4615	2	13	180	16	2019	0.375	0.3823
363	methanol	1.2106	-0.1097	1	66	265	16	2019	2.9375	2.9944
364	method chunk	-1.3141	-0.5027	2	11	270	15	2019	0	0
365	mfcc	-0.8392	-0.3969	2	40	143	11	2019	0.9091	0.9267
366	mg l	0.9501	0.2209	1	71	216	12	2019	2.9167	2.9732
367	mhz	-0.3153	-0.656	6	91	493	37	2019	0.1351	0.1378
368	mic	1.5447	0.0863	1	27	292	15	2019	0.4667	0.4757
369	microalgae	0.6419	0.016	1	36	220	17	2019	3.2941	3.3579
370	microcontroller	-0.3157	-0.2917	5	117	346	45	2019	0.4222	0.4304
371	microstructure	1.1829	-0.2222	1	53	179	12	2019	0.25	0.2548
372	microwave	0.8799	-0.3596	1	84	295	19	2019	1.3684	1.3949
373	middle	-0.4072	0.3985	4	81	214	12	2019	0.5833	0.5946
374	min	1.0419	-0.0898	1	133	587	32	2019	1.5938	1.6246
375	mineral oil	0.7887	-0.454	5	43	299	13	2019	0.3077	0.3137
376	ministry	-0.6337	0.1819	3	80	210	14	2019	0.2143	0.2184
377	mission	-0.3927	-0.1439	5	75	273	22	2019	0.2727	0.278
378	mixture	0.9249	-0.1019	10	110	635	50	2019	0.82	0.8359
379	mjo	-0.2163	0.9904	4	33	223	10	2019	0.9	0.9174
380	model parameter	0.1859	0.0284	7	28	106	13	2019	0.1538	0.1568
381	modification	0.2882	-0.4722	6	143	1108	65	2019	0.9538	0.9723
382	modulation	-0.5188	-0.5207	2	84	354	41	2019	0.9756	0.9945
383	modulus	1.0777	-0.1403	1	69	317	20	2019	0.3	0.3058
384	moisture content	0.7751	0.1882	1	75	320	21	2019	1	1.0194
385	molecular weight	0.8983	-0.0342	1	57	144	13	2019	1.4615	1.4898
386	molecule	0.9148	-0.0559	1	73	263	26	2019	1.3077	1.333
387	monoglyceride content	0.4548	-0.025	8	18	420	12	2019	3.6667	3.7377
388	morphology	1.2583	-0.1133	1	170	1201	70	2019	2.0714	2.1115
389	motion	-0.2798	0.0122	5	140	705	62	2019	0.3065	0.3124
390	motion cueing	-0.5491	-0.1872	5	17	232	12	2019	0.6667	0.6796
391	motivation	-1.03	0.1546	3	66	423	19	2019	0.3158	0.3219
392	motor	-0.3205	-0.2116	5	81	441	54	2019	0.2407	0.2454
393	motorcycle	-0.7657	0.2215	3	18	214	13	2019	1.5385	1.5683
394	mpa	0.7783	-0.1681	1	105	489	27	2019	0.7037	0.7173
395	mpc	-0.4521	-0.2336	5	25	192	12	2019	0.5	0.5097
396	nanoparticle	1.0581	-0.0197	1	112	841	61	2019	1.9836	2.022
397	naoh	1.0926	0.0391	1	71	196	10	2019	0	0
398	nata	0.8571	-0.276	1	14	234	14	2019	0	0
399	natural ester	0.7865	-0.4559	5	43	287	12	2019	0.6667	0.6796
400	natural frequency	-0.0687	0.6114	4	29	139	13	2019	0.8462	0.8625
401	nca	0.7005	-0.4106	1	20	177	11	2019	3	3.0581
402	ndn	-0.924	-0.2818	2	18	159	26	2019	0.3077	0.3137
403	necessity	-0.7766	0.0922	3	49	136	11	2019	0.8182	0.834
404	neural network	-0.8504	-0.3133	2	72	310	30	2019	0.5333	0.5437
405	ngc	0.0543	0.4428	7	16	213	14	2019	0.1429	0.1456
406	nmr	1.3171	0.0085	1	79	368	24	2019	1.1667	1.1893
407	node	-0.6857	-0.4086	2	61	316	41	2019	0.3902	0.3978
408	north	-0.2998	0.8752	4	79	297	18	2019	3.7778	3.8509
409	november	-0.255	0.9195	4	56	205	12	2019	3.5833	3.6527
410	numerical simulation	-0.0896	0.5359	4	71	238	29	2019	1.3448	1.3709
411	object detection system	-0.214	-0.3883	5	5	57	12	2019	0	0
412	october	-0.0684	0.6337	4	71	192	14	2019	1.6429	1.6747
413	oil	0.8395	-0.0513	1	220	2698	157	2019	0.7197	0.7337
414	oil recovery	1.0734	0.1924	1	70	589	29	2019	1.4828	1.5115
415	open cluster	0.0954	0.4435	7	12	174	12	2019	0.3333	0.3398
416	operator	-0.4714	0.1703	8	118	480	63	2019	0.4603	0.4692
417	opportunity	-0.6972	0.1596	3	122	507	44	2019	1.0455	1.0657
418	optical property	1.1676	-0.2408	1	55	163	14	2019	1.5	1.5291
